OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,Web_source, FID
128,SINDH,JACOBABAD,2.86,DISTRICT,2.86,2.86,0.25,https://giszoo.blogspot.com/,124
129,SINDH,JAMSHORO,5.49,DISTRICT,5.53,5.53,1.01,,125
131,SINDH,KASHMORE,2.86,DISTRICT,2.68,2.68,0.23,,126
132,SINDH,KHAIRPUR,7.02,DISTRICT,7.02,7.02,1.45,,127
133,SINDH,LARKANA,2.69,DISTRICT,2.68,2.68,0.17,,128
134,SINDH,MATIARI,2.23,DISTRICT,2.23,2.23,0.13,,129
135,SINDH,MIRPURKHAS,3.15,DISTRICT,3.15,3.15,0.3,,130
136,SINDH,NAUSHAHRO FEROZ,2.65,DISTRICT,2.66,2.66,0.27,,131
137,SINDH,SANGHAR,5.75,DISTRICT,5.75,5.75,0.92,,132
138,SINDH,SHAHDAD KOT,3.17,DISTRICT,3.17,3.17,0.51,,133
139,SINDH,S. BENAZIRABAD,3.05,DISTRICT,3.05,3.05,0.42,,134
140,SINDH,SHIKARPHUR,2.23,DISTRICT,2.23,2.23,0.24,,135
141,SINDH,SUKKUR,4.1,DISTRICT,4.1,4.1,0.48,,136
142,SINDH,T. AYAR,1.74,DISTRICT,1.74,1.74,0.14,,137
143,SINDH,T. M KHAN,2.9,DISTRICT,2.9,2.9,0.16,https://giszoo.blogspot.com/,138
144,SINDH,THARPARKAR,7.93,DISTRICT,7.93,7.93,1.77,https://giszoo.blogspot.com/,139
145,SINDH,SUJJAWAL,14.29,DISTRICT,6.41,6.41,0.77,https://giszoo.blogspot.com/,140
146,SINDH,UMERKOT,4.46,DISTRICT,4.46,4.46,0.49,https://giszoo.blogspot.com/,141
130,SINDH,KARACHI CENTRAL,0,DISTRICT,0.37,0.37,0.01,https://giszoo.blogspot.com/,142
130,SINDH,KARACHI WEST,0,DISTRICT,1.59,1.59,0.04,https://giszoo.blogspot.com/,143
130,SINDH,MALIR CANTONMENT,0,CANTONMENT,0.44,0.44,0.01,https://giszoo.blogspot.com/,144
130,SINDH,KORANGI CREEK CANTONMENT,0,CANTONMENT,0.23,0.23,0,https://giszoo.blogspot.com/,145
130,SINDH,MANORA CANTONMENT,0,CANTONMENT,0.12,0.12,0,https://giszoo.blogspot.com/,146
130,SINDH,MANORA CANTONMENT,0,CANTONMENT,0.12,0.12,0,https://giszoo.blogspot.com/,146
130,SINDH,CLIFTON CANTONMENT,0,CANTONMENT,0.36,0.36,0,https://giszoo.blogspot.com/,147
130,SINDH,KARACHI CANTONMENT,0,CANTONMENT,0.1,0.1,0,https://giszoo.blogspot.com/,148
130,SINDH,FAISAL CANTONMENT,0,CANTONMENT,0.49,0.49,0,https://giszoo.blogspot.com/,149
130,SINDH,KARACHI SOUTH,0,DISTRICT,0.66,0.66,0.01,https://giszoo.blogspot.com/,150
81,KHYBER PAKHTUNKHWA,PESHAWAR,1.52,DISTRICT,1.9,1.9,0.12,,151
49,FATA,KHYBER AGENCY,3.43,AGENCY,3.54,3.54,0.27,,152
130,SINDH,MALIR,0,DISTRICT,3.55,3.55,0.25,https://giszoo.blogspot.com/,153
102,PUNJAB,KHANEWAL,4.18,DISTRICT,4.18,4.18,0.41,,154
74,KHYBER PAKHTUNKHWA,LOWER KOHISTAN,4.71,DISTRICT,2.88,2.88,0.2,,155
130,SINDH,KORANGI,0,DISTRICT,0.55,0.55,0.01,https://giszoo.blogspot.com/,156
130,SINDH,KARACHI EAST,0,DISTRICT,0.41,0.41,0,https://giszoo.blogspot.com/,157
145,SINDH,THATTA,14.29,DISTRICT,11.8,11.8,0.69,https://giszoo.blogspot.com/,158
37,BALOCHISTAN,LEHRI,6.17,DISTRICT,3.26,3.26,0.3,,159
17,BALOCHISTAN,SOHBATPUR,3.83,DISTRICT,1.86,1.86,0.06,,160
